tanav_algne,number_algne,tanav_norm,number_norm,esinemisi,aadress_paring,x_lest,y_lest,lat,lon,staatus,vasted_arv,ads_oid,aadress_taielik,marka
Aia,38b,Aia,38b,1,"Tartu linn, Aia 38b",,,,,not_found,0,,,
Aia,6,Aia,6,2,"Tartu linn, Aia 6",640977.12,6456320.24,58.225028,26.399744,multiple,3,EE00764245,"Tartu maakond, Elva vald, Elva linn, Aia tn 6",
Aia,63,Aia,63,1,"Tartu linn, Aia 63",,,,,not_found,0,,,
Aia,5,Aia,5,1,"Tartu linn, Aia 5",640999.78,6456330.12,58.225111,26.400141,multiple,3,EE00775944,"Tartu maakond, Elva vald, Elva linn, Aia tn 5",
Aia,2,Aia,2,2,"Tartu linn, Aia 2",640970.97,6456244.51,58.224357,26.399596,ok,1,EE00735619,"Tartu maakond, Elva vald, Elva linn, Aia tn 2",
Aia,12,Aia,12,2,"Tartu linn, Aia 12",683272.99,6506680.65,58.661075,27.159132,ok,1,EE00737736,"Tartu maakond, Peipsiääre vald, Kallaste linn, Aia tn 12a",
Aia,39,Aia,39,1,"Tartu linn, Aia 39",,,,,not_found,0,,,
Aia,17,Aia,17,1,"Tartu linn, Aia 17",,,,,not_found,0,,,
Aia,66,Aia,66,1,"Tartu linn, Aia 66",,,,,not_found,0,,,
Aia,30,Aia,30,1,"Tartu linn, Aia 30",,,,,not_found,0,,,
Aia,29,Aia,29,1,"Tartu linn, Aia 29",,,,,not_found,0,,,
Aleksandri,43a,Aleksandri,43a,1,"Tartu linn, Aleksandri 43a",,,,,not_found,0,,,
Aleksandri,40,Aleksandri,40,3,"Tartu linn, Aleksandri 40",660149.37,6473345.68,58.371194,26.737577,ok,1,EE00757835,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 40",
Aleksandri,70,Aleksandri,70,2,"Tartu linn, Aleksandri 70",,,,,not_found,0,,,
Aleksandri,28,Aleksandri,28,2,"Tartu linn, Aleksandri 28",659985.03,6473568.79,58.373254,26.734932,multiple,5,EE00769525,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 28",
Aleksandri,14,Aleksandri,14,4,"Tartu linn, Aleksandri 14",659845.23,6473679.68,58.374301,26.732619,ok,1,ME00761655,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 14",
Aleksandri,53,Aleksandri,53,2,"Tartu linn, Aleksandri 53",660178.70,6473263.14,58.370438,26.738031,ok,1,EE04063127,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 53",
Aleksandri,44,Aleksandri,44,3,"Tartu linn, Aleksandri 44",660210.01,6473280.43,58.370579,26.738572,ok,1,EE00767506,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 44",
